Source,Target,Weight20192
a020,a021,0.1738
a0839,b258,0.261
a419,e872,0.2026
a419,g9341,0.1628
a419,j189,0.1586
a419,j9601,0.1801
a419,n390,0.1592
a419,r6521,0.2383
a530,o9812,0.1613
a5402,a5602,0.2896
a568,o98319,0.2002
a6000,o9832,0.4752
a878,a9232,0.2896
a9232,g02,0.2964
b003,b004,0.1561
b009,o9852,0.5227
b4481,e0865,0.1592
b9620,n390,0.2315
b9710,b9789,0.3213
b9710,j206,0.2033
b9710,j218,0.22
b9789,j069,0.1734
b9789,j218,0.1993
c049,c411,0.2017
c069,c411,0.1557
c3481,c3482,0.2339
c3490,c7931,0.2214
c50911,z170,0.1638
c50912,z170,0.1852
c561,c562,0.3081
c609,z8549,0.2151
c61,c7951,0.1845
c672,c674,0.1534
c6921,c6922,0.7194
c7800,c787,0.2086
c7800,c7951,0.1529
c7801,c7802,0.6962
c786,r180,0.2175
c787,c7951,0.262
c787,g893,0.2009
c7901,c7902,0.3157
c7931,c7951,0.1655
c7931,g936,0.1895
c7951,g893,0.2523
c7961,c7962,0.5357
c7971,c7972,0.4059
c7a090,c7b09,0.1687
c7a1,c7b8,0.1537
c7a8,c7b8,0.2767
c7b09,e248,0.1569
d0511,d0512,0.2035
d069,o9a12,0.1843
d120,d122,0.1633
d122,d123,0.2845
d122,d124,0.2062
d122,d125,0.1868
d123,d124,0.1971
d123,d125,0.2109
d124,d125,0.2118
d251,d252,0.2219
d252,o3413,0.23399999999999999
d259,n920,0.1759
d259,o3413,0.3208
d333,h9042,0.1873
d3501,d3502,0.182
d61810,d709,0.1622
d61810,r5081,0.3142
d61810,t451x5a,0.4138
d61818,k766,0.1802
d630,g893,0.1663
d631,e1122,0.3855
d631,e875,0.2493
d631,i120,0.3753
d631,i129,0.1621
d631,i132,0.2365
d631,n184,0.1515
d631,n186,0.5827
d631,z794,0.1829
d631,z992,0.5443
d6481,t451x5a,0.2851
d6481,z5111,0.2448
d649,e876,0.1563
d649,n179,0.1522
d6832,t45515a,0.3475
d684,d6959,0.1636
d684,i8510,0.1572
d684,k3189,0.1651
d684,k7031,0.2861
d684,k7290,0.1992
d684,k766,0.2717
d6959,k766,0.2078
d700,d704,0.2587
d709,r5081,0.4186
d821,q213,0.1785
d821,q9381,0.2797
d89810,t865,0.2327
d89811,t8609,0.3477
d89811,t865,0.2922
d89812,t865,0.1877
d89813,t865,0.3592
e038,e230,0.1545
e039,e785,0.2559
e039,f329,0.1722
e039,i10,0.21600000000000003
e039,i2510,0.1983
e039,k219,0.2259
e039,n179,0.1681
e039,z7901,0.1643
e039,z7982,0.1988
e039,z79890,0.1936
e039,z79899,0.2001
e039,z87891,0.2059
e0580,t381x5a,0.3058
e0865,e840,0.2345
e0865,e848,0.2891
e089,e840,0.2258
e089,e848,0.3469
e1010,e1043,0.1804
e1010,z9641,0.1712
e1021,e1022,0.2588
e1021,e10319,0.2625
e1021,e1042,0.1744
e1021,e1043,0.1638
e1021,e10649,0.1575
e1022,e10319,0.2184
e1022,e1040,0.1788
e1022,e1042,0.2241
e1022,e1043,0.2518
e1022,e1051,0.1848
e1022,e10621,0.1574
e1022,e10649,0.2273
e1022,e1065,0.3229
e10319,e1040,0.1618
e10319,e1042,0.1992
e10319,e1043,0.157
e10319,e1051,0.1601
e1040,e1065,0.1579
e1042,e1043,0.1729
e1042,e1051,0.1824
e1042,e10621,0.2003
e1042,e10649,0.1756
e1042,e1065,0.1811
e1042,e1069,0.1518
e1043,e10649,0.1799
e1043,e1065,0.1706
e1043,k3184,0.2915
e1051,e10621,0.2199
e1051,e1069,0.1866
e1052,e10621,0.2377
e1052,e10628,0.1675
e1052,e1069,0.2128
e10621,e10628,0.2459
e10621,e1069,0.3614
e10628,e1069,0.1707
e10649,e1065,0.1798
e1065,z9641,0.1531
e1122,e1140,0.1598
e1122,e1142,0.1818
e1122,e1151,0.1889
e1122,e1165,0.2645
e1122,e785,0.2022
e1122,e871,0.1565
e1122,e872,0.1808
e1122,e875,0.2187
e1122,i120,0.2103
e1122,i129,0.3969
e1122,i130,0.2987
e1122,i2510,0.2373
e1122,n179,0.2785
e1122,n186,0.3518
e1122,n189,0.23
e1122,z7901,0.1522
e1122,z794,0.3869
e1122,z7982,0.2028
e1122,z7984,0.1964
e1122,z992,0.3169
e1139,h42,0.4288
e1140,e11621,0.156
e1140,z794,0.1559
e1142,e1151,0.1805
e1142,e11621,0.2372
e1142,e1165,0.1812
e1142,z794,0.1738
e1143,k3184,0.515
e1151,e11621,0.1929
e1152,e11621,0.1827
e1152,e11628,0.1678
e1152,e1169,0.21600000000000003
e1152,i96,0.2946
e11621,e11628,0.2194
e11621,e1169,0.3737
e11621,l03115,0.1891
e11621,l03116,0.1762
e11621,l97519,0.3678
e11621,l97529,0.3568
e11621,m869,0.1747
e11622,l97919,0.1516
e11628,e1169,0.1813
e11628,l97519,0.1935
e11628,l97529,0.1676
e1165,e871,0.154
e1165,z794,0.3471
e1165,z7984,0.2377
e1169,l97519,0.2096
e1169,l97529,0.2113
e1169,m86171,0.1751
e1169,m86172,0.1642
e1169,m868x7,0.2042
e1169,m869,0.2752
e119,e785,0.1906
e119,i10,0.2188
e119,i2510,0.1518
e119,z794,0.2002
e119,z7982,0.1557
e119,z7984,0.4026
e1322,e1340,0.188
e1322,e1351,0.2259
e1340,e1351,0.1589
e1340,e13649,0.1737
e1342,e1365,0.2595
e13649,e1365,0.2626
e1365,e891,0.2078
e139,e891,0.2739
e230,e232,0.2572
e301,g47411,0.1821
e43,z515,0.1561
e43,z681,0.4077
e440,z681,0.1766
e46,z681,0.1672
e509,e60,0.1714
e509,q442,0.1676
e60,k745,0.1982
e60,q442,0.3492
e6601,g4733,0.2789
e6601,z6841,0.3409
e6601,z6842,0.2109
e6601,z6843,0.1804
e662,j9622,0.2042
e669,g4733,0.1506
e669,o99214,0.1817
e71121,f82,0.1715
e7800,i2510,0.1618
e7800,z7982,0.1666
e785,e876,0.1603
e785,f329,0.1767
e785,i10,0.4228
e785,i129,0.1568
e785,i2510,0.3905
e785,k219,0.2961
e785,n179,0.2317
e785,z7901,0.2064
e785,z794,0.2234
e785,z7982,0.3668
e785,z7984,0.1934
e785,z79899,0.3271
e785,z87891,0.336
e785,z955,0.1596
e8339,e8342,0.1836
e8339,n186,0.1754
e8339,z992,0.1653
e8342,e871,0.1581
e8342,e876,0.2717
e8359,n29,0.2874
e840,e848,0.4702
e840,k8681,0.1908
e848,k8681,0.2337
e848,k909,0.2185
e854,i43,0.2593
e854,i680,0.4817
e860,e871,0.2117
e860,e872,0.2218
e860,e876,0.2198
e860,n179,0.2758
e860,n390,0.1501
e870,j690,0.1531
e870,r6521,0.1597
e871,e872,0.218
e871,e876,0.2313
e871,n179,0.222
e871,z794,0.1609
e872,e875,0.1896
e872,e876,0.1982
e872,g9341,0.16399999999999998
e872,j9601,0.2239
e872,n179,0.2807
e872,z66,0.1753
e874,j9622,0.1526
e875,i120,0.1765
e875,n179,0.166
e875,n186,0.2697
e875,z992,0.2541
e876,i10,0.1912
e876,k219,0.1503
e876,n179,0.1973
e876,z79899,0.1656
e890,z85850,0.3183
e891,z90410,0.3198
f0280,g20,0.2183
f0280,g309,0.723
f0281,g309,0.1631
f0390,z66,0.1619
f10229,f10239,0.1817
f1110,f1510,0.1729
f1111,f1511,0.1681
f1120,g894,0.2181
f1121,f1521,0.1545
f1123,f1520,0.1743
f1123,f332,0.2601
f1123,z590,0.1789
f1210,f1510,0.193
f1220,f1520,0.1733
f1221,f1521,0.1621
f1419,f1529,0.1727
f1510,z590,0.2211
f1520,z560,0.2008
f1520,z590,0.1907
f17210,f419,0.1719
f17210,i10,0.1801
f17210,r45851,0.1831
f17210,z590,0.1655
f17210,z79899,0.1822
f17213,z13228,0.2579
f3289,r6889,0.2262
f329,f419,0.3624
f329,g8929,0.1541
f329,i10,0.17800000000000002
f329,k219,0.2129
f329,z79899,0.1782
f329,z87891,0.1614
f332,g4700,0.1655
f332,r45851,0.2471
f332,z590,0.1604
f332,z62810,0.2237
f332,z915,0.2577
f3481,f902,0.1893
f419,g8929,0.1522
f419,i10,0.1663
f419,k219,0.1959
f419,r45851,0.1605
f419,z79899,0.1654
f4310,z62810,0.159
f4310,z915,0.1644
f5000,f502,0.1582
f530,o99345,0.3587
f72,g800,0.18100000000000002
f72,m4140,0.1537
f73,g800,0.1506
f810,f812,0.4562
f88,g800,0.2731
f88,r633,0.214
f88,z431,0.1603
g061,m4626,0.2299
g2409,t434x5a,0.2071
g249,p612,0.1831
g249,q673,0.2013
g4440,t463x5a,0.21899999999999997
g4700,r45851,0.1942
g4700,z915,0.1663
g546,z4781,0.3796
g5631,m21331,0.2772
g5632,m21332,0.1699
g720,t865,0.1667
g800,m4140,0.201
g8191,g936,0.1543
g8191,i639,0.1886
g8191,r29810,0.2158
g8191,r4701,0.2847
g8191,r471,0.1779
g8194,i639,0.2009
g8194,r29810,0.2554
g8194,r471,0.1798
g8220,l89154,0.1809
g8220,n319,0.2631
g8929,k219,0.1626
g8929,m545,0.1558
g8929,m549,0.3192
g911,i615,0.159
g912,z982,0.1862
g919,z982,0.2447
g931,i469,0.2747
g9341,j690,0.1618
g9341,j9601,0.157
g9341,n390,0.1599
g9341,r6521,0.1691
g9341,z515,0.1712
g9341,z66,0.1758
g935,g936,0.3244
g936,r4701,0.1693
g9520,m4804,0.1532
g992,m5412,0.1897
h01003,h01006,0.6338
h16002,q300,0.1554
h35113,p0703,0.1785
h35123,p0702,0.1801
h35123,p0723,0.3029
h3563,t7612xa,0.1817
h47039,q564,0.2011
h4912,h5501,0.1661
h6001,h6011,0.1655
h6001,q172,0.1569
h6092,h70002,0.2438
h70002,h7292,0.1556
h8120,h933x9,0.1661
i10,i2510,0.2205
i10,k219,0.2796
i10,z7982,0.2781
i10,z7984,0.1682
i10,z79899,0.3188
i10,z87891,0.2975
i110,i2510,0.20199999999999999
i110,i252,0.1606
i110,i255,0.1555
i110,i480,0.1644
i110,i5022,0.2024
i110,i5032,0.1991
i110,i509,0.3063
i110,z7901,0.1895
i120,n186,0.628
i120,n2581,0.1514
i120,z992,0.6279
i129,n179,0.2567
i129,n189,0.3541
i129,z794,0.1602
i130,i2510,0.1576
i130,i255,0.1733
i130,i2720,0.1519
i130,i5022,0.1938
i130,i5032,0.2016
i130,i5033,0.1504
i130,i509,0.2073
i130,n179,0.1814
i130,n184,0.1833
i130,n189,0.2223
i132,n186,0.3922
i132,z992,0.3862
i21a9,t82867a,0.1798
i2510,i252,0.3066
i2510,i255,0.1535
i2510,i480,0.1846
i2510,i4891,0.1578
i2510,j449,0.1864
i2510,k219,0.2154
i2510,n179,0.23399999999999999
i2510,z7901,0.2373
i2510,z7902,0.2283
i2510,z794,0.2091
i2510,z7982,0.3936
i2510,z7984,0.1552
i2510,z79899,0.2276
i2510,z8673,0.1555
i2510,z87891,0.2822
i2510,z951,0.295
i2510,z955,0.3845
i252,i255,0.1899
i252,z7902,0.205
i252,z7982,0.1767
i252,z951,0.2209
i252,z955,0.3682
i255,i5022,0.2268
i255,i5023,0.2486
i255,z951,0.1921
i255,z955,0.1531
i255,z95810,0.2668
i2690,i330,0.2053
i2690,i76,0.2653
i2720,z9981,0.1525
i2729,i2781,0.2531
i330,i76,0.2428
i350,z006,0.2196
i429,i5022,0.1544
i429,i5023,0.166
i429,z95810,0.1508
i462,i4901,0.2605
i480,z7901,0.3061
i4891,z7901,0.2507
i495,z950,0.2226
i5022,z95810,0.2242
i5023,z95810,0.2162
i5033,j9621,0.1525
i5084,z95811,0.23399999999999999
i5189,q676,0.249
i602,i67848,0.1836
i609,i615,0.17300000000000001
i6201,i6203,0.2141
i639,r29810,0.2418
i639,r4701,0.1812
i639,r471,0.1891
i69020,i69051,0.4311
i69020,i69091,0.3321
i69020,i69098,0.2141
i69051,i69091,0.4096
i69054,i69098,0.1692
i69091,i69098,0.3555
i69110,i69111,0.4308
i69110,i69112,0.2339
i69110,i69114,0.5
i69111,i69112,0.3308
i69111,i69114,0.4786
i69111,i69118,0.3329
i69111,i69192,0.1934
i69111,i69193,0.2289
i69112,i69114,0.2339
i69112,i69118,0.2729
i69114,i69193,0.2945
i69118,i69120,0.2585
i69118,i69122,0.1987
i69118,i69151,0.2417
i69118,i69191,0.1837
i69118,i69192,0.212
i69119,i69120,0.2
i69119,i69122,0.2406
i69119,i69151,0.2264
i69119,i69154,0.2998
i69119,i69191,0.3437
i69119,i69192,0.1744
i69119,i69198,0.2243
i69120,i69122,0.2386
i69120,i69151,0.4134
i69120,i69191,0.3615
i69120,i69192,0.1795
i69120,i69198,0.2394
i69122,i69151,0.3004
i69122,i69154,0.2237
i69122,i69191,0.4307
i69122,i69192,0.5032
i69122,i69198,0.235
i69128,i69192,0.1601
i69151,i69191,0.3242
i69151,i69192,0.1946
i69151,i69198,0.2719
i69154,i69191,0.2871
i69154,i69192,0.2446
i69154,i69198,0.1769
i69191,i69192,0.3101
i69191,i69198,0.29600000000000004
i69192,i69198,0.1576
i69218,i69291,0.3293
i69219,i69220,0.2035
i69219,i69251,0.2084
i69219,i69291,0.2774
i69219,i69298,0.1524
i69220,i69251,0.3614
i69220,i69298,0.1783
i69254,i69291,0.1997
i69310,i69311,0.28
i69310,i69312,0.2924
i69310,i69314,0.675
i69311,i69312,0.2097
i69311,i69314,0.3365
i69311,i69318,0.1968
i69312,i69314,0.2832
i69312,i69318,0.1507
i69318,i69393,0.1938
i69319,i69320,0.1553
i69319,i69322,0.2166
i69319,i69391,0.239
i69319,i69392,0.179
i69319,i69398,0.1513
i69320,i69322,0.2408
i69320,i69351,0.3088
i69320,i69391,0.2997
i69320,i69392,0.1725
i69320,i69398,0.158
i69322,i69351,0.1885
i69322,i69354,0.1535
i69322,i69391,0.4074
i69322,i69392,0.3676
i69322,i69398,0.1926
i69351,i69391,0.2023
i69354,i69391,0.1666
i69391,i69392,0.2971
i69391,i69398,0.1731
i69391,r1312,0.1518
i69919,i69922,0.1725
i69920,i69951,0.1786
i70238,i70248,0.2956
i70239,i70249,0.2353
i724,t81718a,0.1883
i7300,m349,0.2033
i743,i998,0.1637
i788,i97130,0.1599
i82211,i82221,0.1931
i82220,i82423,0.1562
i82411,i82431,0.3735
i82412,i82432,0.3834
i82413,i82433,0.3663
i82431,i82441,0.2664
i82432,i82442,0.2387
i82433,i82443,0.2447
i82441,i82451,0.196
i82442,i82452,0.2583
i82443,i82493,0.1768
i82511,i82531,0.3518
i82512,i82532,0.4222
i82513,i82533,0.3037
i82531,i82541,0.1614
i82621,i82b11,0.1615
i82622,i82b12,0.1645
i82a11,i82b11,0.3046
i82a12,i82b12,0.28600000000000003
i82b11,i82c11,0.1596
i82b12,i82c12,0.1608
i83009,l97909,0.2296
i83013,i83023,0.1843
i83013,l97312,0.1579
i83018,i83028,0.4999
i83018,l97819,0.2324
i83019,i83029,0.4878
i83028,l97829,0.2035
i8311,i8312,0.7462
i83218,i83228,0.6027
i83228,l97821,0.1551
i83228,l97822,0.1504
i8510,k3189,0.2052
i8510,k7031,0.2139
i8510,k7290,0.1566
i8510,k766,0.261
i8511,k3189,0.2037
j0110,j0120,0.2857
j189,j440,0.2696
j189,j441,0.1657
j189,j9601,0.2108
j189,j9621,0.1533
j209,j440,0.1813
j321,j322,0.2319
j322,j323,0.2443
j342,j343,0.2393
j440,j441,0.4157
j440,j9621,0.2455
j440,z9981,0.1888
j441,j9621,0.3346
j441,j9622,0.1577
j441,z9981,0.3034
j449,z87891,0.1595
j449,z9981,0.2025
j470,j471,0.225
j690,j9601,0.198
j690,r6521,0.1672
j690,z515,0.1501
j705,t59811a,0.4064
j850,j851,0.2033
j853,j9851,0.2615
j90,j9811,0.19
j954,t410x5a,0.285
j9601,n179,0.1844
j9601,r6521,0.1518
j9601,z515,0.153
j9601,z66,0.204
j9611,z9981,0.2147
j9621,j9622,0.3215
j9621,z9981,0.415
k029,k047,0.2655
k041,k122,0.1592
k122,l0201,0.2153
k122,l0211,0.1562
k122,m272,0.1786
k219,n179,0.1574
k219,z7901,0.1516
k219,z7982,0.2177
k219,z79899,0.2266
k219,z87891,0.2517
k311,k315,0.1663
k3189,k7031,0.1647
k3189,k766,0.3587
k435,z433,0.1568
k50012,k50013,0.1613
k50113,k50114,0.3041
k50812,k50813,0.1819
k50913,k50914,0.17300000000000001
k521,t3695xa,0.2564
k5730,k648,0.1773
k5901,r530,0.314
k5903,t402x5a,0.521
k5903,t40605a,0.2735
k592,n319,0.2185
k635,k648,0.1782
k644,k648,0.2012
k6812,m4626,0.171
k7010,k8520,0.1562
k7011,k7031,0.1756
k7011,k7040,0.1552
k7030,k766,0.1747
k7031,k7040,0.1888
k7031,k7290,0.2361
k7031,k766,0.3284
k7031,k767,0.1715
k7200,r570,0.188
k7290,k7460,0.1587
k7290,k766,0.2741
k745,q442,0.2076
k7460,k7581,0.1719
k7460,k766,0.2201
k7460,r188,0.2562
k7469,k7581,0.18899999999999997
k7581,k766,0.1548
k766,r188,0.2181
k8000,k82a1,0.1722
k8309,k831,0.1725
k831,o2662,0.2262
k8590,k861,0.163
l0201,l03211,0.2169
l0211,l03221,0.2816
l02211,l03311,0.2532
l02212,l03312,0.2399
l02213,l03313,0.2033
l02214,l03314,0.3223
l02215,l03315,0.221
l0231,l03317,0.3855
l02411,l03111,0.3435
l02412,l03112,0.4795
l02413,l02414,0.18899999999999997
l02413,l03113,0.2096
l02414,l03114,0.2403
l02511,l03011,0.2746
l02512,l03012,0.2529
l02611,m86171,0.1622
l02612,l97529,0.1707
l02612,m86172,0.1809
l02811,l03811,0.2338
l03115,l03116,0.2552
l03115,l97519,0.1549
l22,p375,0.2012
l233,t490x5a,0.4159
l270,t361x5a,0.1767
l270,t368x5a,0.1794
l89154,m4628,0.2975
l89210,l89220,0.179
l89212,l89222,0.2217
l89213,l89223,0.3056
l89214,l89224,0.3746
l89216,l89896,0.1554
l89219,l89229,0.2496
l89310,l89320,0.4795
l89311,l89321,0.4877
l89312,l89322,0.4888
l89313,l89323,0.4285
l89314,l89324,0.3758
l89316,l89326,0.3889
l89319,l89329,0.4419
l89519,l89529,0.3551
l89610,l89620,0.3333
l89611,l89621,0.5712
l89612,l89622,0.2732
l89613,l89623,0.2641
l89614,l89624,0.3263
l89616,l89626,0.3088
l89616,l89896,0.1957
l89619,l89629,0.4252
l910,o9972,0.1742
l97211,l97221,0.1847
l97219,l97229,0.1935
l97222,l97922,0.1644
l97312,l97322,0.1753
l97319,l97329,0.1818
l97419,l97429,0.1731
l97511,l97521,0.1526
l97512,l97522,0.1559
l97519,l97529,0.2085
l97519,m86171,0.1796
l97529,m86172,0.1675
l97811,l97821,0.4071
l97812,l97822,0.3508
l97818,l97828,0.3946
l97819,l97829,0.3763
l97911,l97921,0.5193
l97912,l97922,0.2151
l97919,l97929,0.4923
l987,m6208,0.1655
m00061,t8453xa,0.1942
m00811,m65811,0.1886
m10071,m10072,0.1509
m13811,m13812,0.1667
m13861,m13862,0.4995
m14671,m14672,0.3391
m1612,z96641,0.1521
m1652,s72002s,0.1807
m1712,z96651,0.1522
m19011,m75101,0.1773
m19012,m75102,0.1659
m19021,m19022,0.2263
m19031,m19032,0.2331
m19041,m19042,0.7879
m19071,m19072,0.2329
m19171,m24571,0.2209
m19171,m25371,0.2073
m2011,m2012,0.3631
m2011,m2041,0.2021
m2011,m21611,0.251
m2041,m2042,0.2935
m21161,m21162,0.1817
m21161,m24561,0.1658
m21171,m21172,0.1661
m21371,m21372,0.2181
m2141,m2142,0.4225
m21611,m21612,0.3313
m2242,s83242a,0.1589
m238x1,m238x2,0.3029
m24511,m24512,0.2481
m24512,m75112,0.1657
m24541,m24542,0.5249
m24551,m24552,0.3908
m24551,m24561,0.1741
m24552,m24561,0.1749
m24552,m24562,0.18100000000000002
m24561,m24562,0.3651
m24571,m24572,0.285
m24571,m25371,0.17300000000000001
m24571,m65871,0.2078
m25471,m25472,0.2349
m25511,m25512,0.1715
